day_name,time_of_day,total_revenue
Friday,Afternoon,17845.88
Friday,Evening,17681.55
Friday,Morning,8320.98
Monday,Evening,15657.60
Monday,Afternoon,15630.43
Monday,Morning,6056.76
Saturday,Evening,27924.53
Saturday,Afternoon,19413.38
Saturday,Morning,8782.90
Sunday,Evening,18408.04
Sunday,Afternoon,16725.32
Sunday,Morning,8804.11
Thursday,Evening,19115.68
Thursday,Afternoon,14945.45
Thursday,Morning,11288.12
Tuesday,Evening,21997.92
Tuesday,Afternoon,19674.97
Tuesday,Morning,9809.35
Wednesday,Afternoon,18041.17
Wednesday,Evening,16579.95
Wednesday,Morning,8182.29
